item_id,interacciones,tipo,categoria
twitter15_714998347111669760,235,Fake,unverified
twitter16_714998347111669760,235,Fake,unverified
twitter15_716451800581279744,229,Fake,unverified
twitter16_716451800581279744,229,Fake,unverified
twitter16_688366079396163584,220,Fake,non-rumor
twitter15_692742353736568833,202,Fake,non-rumor
twitter16_764497123530375169,192,Fake,non-rumor
twitter15_727834854931435522,191,Fake,unverified
twitter16_727834854931435522,191,Fake,unverified
twitter15_767823175480647681,185,Fake,non-rumor
